trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC
10,10,Train,1,352.0,227966.0,352.0,50.0,87.56218905472637,99.84582906297356,50.0,99.82423924449108,63.652802893309214,93.50250991678237,91.24728105720052,0.9901410549501584
10,10,Test,1,70.0,56337.0,70.0,20.0,77.77777777777779,99.8759019270658,50.0,99.84069950616848,60.869565217391305,88.13697127447965,84.4072150225642,0.9664892264196698
10,20,Train,1,381.0,227972.0,381.0,21.0,94.77611940298507,99.83315305688998,50.0,99.82426613625933,65.4639175257732,97.27177820157442,96.29322949915655,0.9986450454309208
10,20,Test,1,73.0,56338.0,73.0,17.0,81.11111111111111,99.87059261491554,50.0,99.84071078387993,61.86440677966102,90.0034151258769,86.73895556225244,0.9738751444633797
10,30,Train,1,380.0,227972.0,380.0,22.0,94.5273631840796,99.83359024663677,50.0,99.82426536803727,65.40447504302927,97.14425378381586,96.11923130284676,0.998639417158305
10,30,Test,1,69.0,56337.0,69.0,21.0,76.66666666666667,99.87767258802255,50.0,99.84069668649109,60.526315789473685,87.50593255173271,83.62996844307344,0.9660299072627402
25,10,Train,1,351.0,227968.0,351.0,51.0,87.31343283582089,99.8462677219154,50.0,99.82424001294153,63.58695652173913,93.36980449077127,91.07328330164924,0.9928656953040232
25,10,Test,1,73.0,56336.0,73.0,17.0,81.11111111111111,99.87058802673332,50.0,99.84070514522381,61.86440677966102,90.00341305844113,86.73895418579778,0.961874481540075
25,20,Train,1,397.0,227971.0,397.0,5.0,98.75621890547264,99.82615778042458,50.0,99.82427765878393,66.38795986622074,99.28974715576558,99.07720056795822,0.9974827682692361
25,20,Test,1,70.0,56337.0,70.0,20.0,77.77777777777779,99.8759019270658,50.0,99.84069950616848,60.869565217391305,88.13697127447965,84.4072150225642,0.9664892264196698
25,30,Train,1,396.0,227972.0,396.0,6.0,98.50746268656717,99.82659567014643,50.0,99.82427765878393,66.33165829145727,99.1648357438461,98.90320258164095,0.9987273949916905
25,30,Test,1,72.0,56336.0,72.0,18.0,80.0,99.87235853070486,50.0,99.84070232574605,61.53846153846154,89.38561787254362,85.96170755921146,0.9613787568147506
50,10,Train,1,350.0,227968.0,350.0,52.0,87.06467661691542,99.84670503420668,50.0,99.82423924449108,63.52087114337568,93.23690838432893,90.8992851421028,0.9928437213933544
50,10,Test,1,72.0,56335.0,72.0,18.0,80.0,99.87235626783911,50.0,99.84069950616848,61.53846153846154,89.3856168599128,85.96170688035174,0.955536494973929
50,20,Train,1,399.0,227972.0,399.0,3.0,99.25373134328358,99.82528429616721,50.0,99.82427996310753,66.50000000000001,99.53909758883032,99.42519722914867,0.9987434203311767
50,20,Test,1,71.0,56336.0,71.0,19.0,78.88888888888889,99.87412909745245,50.0,99.84069950616848,61.206896551724135,88.7635007942086,85.18446095145795,0.960870386821944
50,30,Train,1,400.0,227972.0,400.0,2.0,99.50248756218906,99.82484717916383,50.0,99.82428073120198,66.55574043261231,99.66353703758548,99.59919544728149,0.9987487307418593
50,30,Test,1,72.0,56337.0,72.0,18.0,80.0,99.8723607934904,50.0,99.84070514522381,61.53846153846154,89.38561888513853,85.96170823804712,0.9673727656426617
10,10,Train,2,354.0,227117.0,354.0,46.0,88.5,99.84437576658124,50.0,99.8244620860048,63.898916967509024,94.00120879724068,91.90331272997437,0.9943121589382683
10,10,Test,2,62.0,57184.0,62.0,30.0,67.3913043478261,99.8916954896412,50.0,99.83954794377202,57.407407407407405,82.04774008199603,77.14142169037063,0.9302933819616799
10,20,Train,2,383.0,227120.0,383.0,17.0,95.75,99.83165057164082,50.0,99.82448673339096,65.69468267581475,97.76952767726051,96.97449517149224,0.9986604943180402
10,20,Test,2,66.0,57186.0,66.0,26.0,71.73913043478261,99.8847201844477,50.0,99.83956473214286,58.92857142857143,84.65012090808764,80.18280735968213,0.9457187208882658
10,30,Train,2,388.0,227121.0,388.0,12.0,97.0,99.82945729619487,50.0,99.82449135400533,65.98639455782313,98.40455963892579,97.84883718885845,0.9999735837592952
10,30,Test,2,63.0,57187.0,63.0,29.0,68.47826086956522,99.88995633187773,50.0,99.83955913640962,57.79816513761468,82.7060486780973,77.90176950825898,0.9497465743847874
25,10,Train,2,356.0,227118.0,356.0,44.0,89.0,99.84349859764194,50.0,99.82446439699132,64.02877697841727,94.26596085114782,92.25304957929258,0.9957248798355507
25,10,Test,2,67.0,57186.0,67.0,25.0,72.82608695652173,99.88297556459923,50.0,99.8395675298631,59.292035398230084,85.28825396233434,80.94315353894498,0.9464481772153374
25,20,Train,2,397.0,227121.0,397.0,3.0,99.25,99.8255083114303,50.0,99.82449828447074,66.49916247906198,99.53733821993362,99.42265249342908,0.9999933956781318
25,20,Test,2,66.0,57186.0,66.0,26.0,71.73913043478261,99.8847201844477,50.0,99.83956473214286,58.92857142857143,84.65012090808764,80.18280735968213,0.9457187208882658
25,30,Train,2,396.0,227120.0,396.0,4.0,99.0,99.82594630707291,50.0,99.8244967444146,66.44295302013423,99.4121153803711,99.24778389212187,0.9987317483936804
25,30,Test,2,66.0,57186.0,66.0,26.0,71.73913043478261,99.8847201844477,50.0,99.83956473214286,58.92857142857143,84.65012090808764,80.18280735968213,0.9457187208882658
50,10,Train,2,354.0,227120.0,354.0,46.0,88.5,99.8443778190035,50.0,99.82446439699132,63.898916967509024,94.00120976339512,91.90331334570105,0.9984903017499271
50,10,Test,2,65.0,57183.0,65.0,27.0,70.65217391304348,99.8864589155953,50.0,99.839553540286,58.55855855855856,84.00711557280557,79.42245941380904,0.9273956062153285
