tipo,tp,fn,tn,fp,TPR,SPC,PPV,ACC,F1,MGEO,PEXC,MCC,areaRoc,trees,impurity,depth,bins
train,2453,1053,4866654,20,69.96577296,99.99958904,99.19126567,99.97796796,82.05385516,83.64537371,0.69965362,0.832972946,0.731169846,2,entropy,30,128
test,390,795,1620212,5,32.91139241,99.9996914,98.73417722,99.95065998,49.36708861,57.36836309,0.329110838,0.569897772,0.664555419,10,gini,10,32
train,1149,2381,4868086,17,32.54957507,99.99965079,98.54202401,99.95077626,48.93526405,57.05213528,0.325492259,0.566204502,0.664555419,10,gini,10,32
test,375,812,1622256,9,31.59224937,99.99944522,97.65625,99.94942875,47.74029281,56.20682708,0.315916946,0.555296852,0.657958473,10,gini,10,64
train,1220,2308,4866037,18,34.58049887,99.99963009,98.546042,99.9522341,51.19597146,58.80507712,0.34580129,0.583617636,0.657958473,10,gini,10,64
test,324,916,1624180,9,26.12903226,99.99944588,97.2972973,99.94309195,41.19516847,51.11642346,0.261284781,0.504059277,0.630642391,10,gini,10,128
train,1088,2387,4864125,6,31.30935252,99.99987665,99.45155393,99.95083826,47.62530094,55.95472625,0.313092292,0.557872368,0.630642391,10,gini,10,128
test,572,604,1622952,16,48.63945578,99.99901415,97.27891156,99.96182604,64.85260771,69.74164916,0.486384699,0.687727268,0.74319235,10,gini,20,32
train,2664,875,4865341,11,75.27550155,99.99977391,99.58878505,99.98180284,85.74187319,86.76135739,0.752752755,0.865749369,0.74319235,10,gini,20,32
test,575,630,1622998,14,47.71784232,99.99913741,97.62308998,99.96035013,64.1025641,69.07780448,0.477169797,0.682380209,0.738584899,10,gini,20,64
train,2618,892,4865297,11,74.58689459,99.99977391,99.58158996,99.9814534,85.29076397,86.36360689,0.745866685,0.861747749,0.738584899,10,gini,20,64
test,553,623,1621669,7,47.02380952,99.99956835,98.75,99.96117945,63.70967742,68.57376068,0.470233779,0.681304099,0.735116889,10,gini,20,128
train,2582,957,4866636,8,72.95846284,99.99983562,99.69111969,99.98018555,84.25518029,85.41565601,0.729582985,0.852752019,0.735116889,10,gini,20,128
test,557,596,1623592,26,48.30875976,99.99839864,95.54030875,99.96171768,64.17050691,69.50394676,0.483071584,0.679228105,0.741535792,10,gini,30,32
train,3164,398,4864692,10,88.82650197,99.99979444,99.68494014,99.99161919,93.94299287,94.24771582,0.888262964,0.940952569,0.741535792,10,gini,30,32
test,610,647,1622547,25,48.52824185,99.99845924,96.06299213,99.95861633,64.4820296,69.66167823,0.485267011,0.682618916,0.742633505,10,gini,30,64
train,3109,349,4865739,9,89.90746096,99.99981503,99.71135343,99.99264767,94.55596107,94.81945721,0.89907276,0.946790967,0.742633505,10,gini,30,64
test,563,599,1622010,17,48.45094664,99.99895193,97.06896552,99.96205001,64.63834673,69.60634945,0.484498986,0.68565246,0.742249493,10,gini,30,128
train,3143,410,4866285,8,88.46045595,99.9998356,99.74611235,99.99141657,93.76491647,94.05334153,0.884602916,0.939298937,0.742249493,10,gini,30,128
test,316,822,1622208,10,27.76801406,99.99938356,96.93251534,99.94874815,43.16939891,52.69520176,0.277673976,0.518667272,0.638836988,10,entropy,10,32
train,1038,2539,4866087,15,29.01873078,99.99969175,98.57549858,99.94755301,44.83801296,53.86895333,0.290184225,0.534695441,0.638836988,10,entropy,10,32
test,317,800,1623725,12,28.37958818,99.99926096,96.35258359,99.95002628,43.8450899,53.27229904,0.283788491,0.522778912,0.641894246,10,entropy,10,64
train,1128,2470,4864549,34,31.35075042,99.99930107,97.07401033,99.94856395,47.39495798,55.99154516,0.313500515,0.551514661,0.641894246,10,entropy,10,64
test,323,889,1621230,15,26.65016502,99.99907479,95.56213018,99.94428204,41.67741935,51.62355901,0.266492398,0.504499516,0.633246199,10,entropy,10,128
train,1025,2478,4867054,21,29.26063374,99.99956853,97.99235182,99.94869192,45.06484942,54.09298244,0.292602023,0.535330463,0.633246199,10,entropy,10,128
test,535,603,1621441,20,47.01230228,99.99876654,96.3963964,99.96160481,63.2014176,68.56509492,0.470110688,0.67304903,0.735055344,10,entropy,20,32
train,2650,927,4866846,13,74.08442829,99.99973289,99.51182876,99.98069988,84.93589744,86.07219667,0.740841612,0.858535936,0.735055344,10,entropy,20,32
test,341,849,1622888,7,28.65546218,99.99956867,97.98850575,99.9472934,44.34330299,53.53068147,0.286550309,0.529751392,0.643275154,10,entropy,10,32
train,1109,2416,4865408,17,31.46099291,99.9996506,98.49023091,99.95003029,47.6886691,56.09000177,0.314606435,0.556507375,0.643275154,10,entropy,10,32
test,381,853,1622096,6,30.87520259,99.99963011,98.4496124,99.94708428,47.00801974,55.56535646,0.308748327,0.551179877,0.654374164,10,entropy,10,64
