instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,10,20,Train,1,107185,148330,107185,19508,84.6021485,58.05138642,50,66.85234218,62.85349041,70.08046814,76.63691988,0.919872503,0.717224987,0.624103334,8160,8766,1,490.3283088,0.069970875
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,10,20,Test,1,321259,465764,321259,135572,70.32337998,59.18048138,50,63.27294039,58.44531627,64.51179334,66.9805104,0.791287314,0.717224987,0.624103334,8160,8766,1,490.3283088,0.069970875
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,10,30,Train,1,123679,152221,123679,4003,96.8648674,55.17252628,50,68.36281103,65.95509812,73.10457881,84.35716507,0.98474632,0.686408234,0.668044537,6539,10788,1,611.8793393,0.070108588
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,10,30,Test,1,311300,467420,311300,145531,68.14336155,60.02414218,50,63.02613166,57.67853619,63.95503751,65.70759574,0.78455628,0.686408234,0.668044537,6539,10788,1,611.8793393,0.070108588
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,25,10,Train,1,89572,135507,89572,38249,70.07612208,60.20419497,50,63.77982431,58.35974785,64.9528792,67.11454395,0.809134077,0.765235714,0.763836813,8634,8447,1,463.4096595,0.070129333
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,25,10,Test,1,317533,476213,317533,139298,69.50776108,59.99564092,50,63.47038207,58.16171306,64.57679672,66.65412503,0.800934275,0.765235714,0.763836813,8634,8447,1,463.4096595,0.070129333
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,25,20,Train,1,107390,151689,107390,18397,85.37448226,58.54932279,50,67.31667645,63.06541738,70.70090608,77.32693442,0.931635147,0.827010277,0.715642638,7141,12343,1,560.2967372,0.07013958
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,25,20,Test,1,323335,470479,323335,133496,70.77781499,59.26816609,50,63.47236826,58.60166869,64.76782608,67.32492032,0.798826263,0.827010277,0.715642638,7141,12343,1,560.2967372,0.07013958
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,25,30,Train,1,125854,150533,125854,1098,99.13510618,54.46457323,50,68.52473974,66.4733534,73.48027797,85.73394629,0.995645469,0.726088998,0.667755529,8294,11936,1,482.4064384,0.06939878
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,25,30,Test,1,325988,464485,325988,130843,71.35855491,58.76038777,50,63.37452618,58.79977309,64.75381346,67.57910477,0.793965829,0.726088998,0.667755529,8294,11936,1,482.4064384,0.06939878
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,50,10,Train,1,88680,134366,88680,37999,70.00371017,60.24138519,50,63.7775395,58.33462155,64.93935993,67.07501267,0.807565145,0.64993653,0.627146348,9543,8761,1,419.268469,0.069604724
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,50,10,Test,1,318237,475496,318237,138594,69.6618662,59.90629091,50,63.47000233,58.215594,64.60018593,66.73519361,0.800631282,0.64993653,0.627146348,9543,8761,1,419.268469,0.069604724
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,50,20,Train,1,108682,150728,108682,18109,85.71744051,58.10415944,50,67.16968625,63.15875114,70.57293979,77.43345619,0.932787923,0.611304187,0.686902751,7778,10303,1,514.4097454,0.070119585
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,50,20,Test,1,326100,470208,326100,130731,71.38307164,59.04850887,50,63.54506563,58.80809463,64.92352377,67.68270281,0.800919624,0.611304187,0.686902751,7778,10303,1,514.4097454,0.070119585
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,50,30,Train,1,124838,155330,124838,351,99.71962393,55.44173496,50,69.11635916,66.60424419,74.35475076,86.43625724,0.998800612,0.664206229,0.706300555,10371,5772,1,385.7949089,0.070115336
IS,projection,0.1,2,1,FALSE,4,1000,6,entropy,50,30,Test,1,324635,469657,324635,132196,71.06238412,59.12901049,50,63.48632389,58.69897957,64.82166656,67.48237203,0.798966022,0.664206229,0.706300555,10371,5772,1,385.7949089,0.070115336
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,10,10,Train,1,94487,130172,94487,38179,71.22171468,57.9420366,50,62.87245505,58.75326452,64.23963884,67.23781126,0.806894853,1.593799261,2.712101116,38263,53348,1,1511.831926,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,10,10,Test,1,313848,477643,313848,142983,68.70111704,60.34724337,50,63.40439406,57.87739724,64.38884243,66.19495494,0.799626559,1.593799261,2.712101116,38263,53348,1,1511.831926,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,10,20,Train,1,115322,142129,115322,18357,86.2678506,55.20623342,50,65.82236085,63.3075595,69.01103605,76.94936544,0.922225754,1.56446573,2.686390265,26956,64521,1,2145.986979,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,10,20,Test,1,321763,465636,321763,135068,70.43370524,59.13596537,50,63.28403912,58.48338312,64.53809073,67.04438328,0.791579846,1.56446573,2.686390265,26956,64521,1,2145.986979,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,10,30,Train,1,128527,147683,128527,3865,97.08063931,53.46765142,50,67.59878806,66.00504306,72.04633081,83.99674295,0.984601431,1.550278436,2.705988243,41095,77565,1,1407.646307,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,10,30,Test,1,312614,467056,312614,144217,68.43099527,59.90431849,50,63.05453857,57.78132246,64.02587083,65.87299224,0.785254422,1.550278436,2.705988243,41095,77565,1,1407.646307,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,25,10,Train,1,95895,128494,95895,37315,71.98783875,57.26394788,50,62.74877726,59.01230769,64.20520108,67.57067149,0.80458846,1.5105521,2.823353286,33987,75418,1,1702.03975,0.070171071
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,25,10,Test,1,318254,474826,318254,138577,69.66558749,59.87113532,50,63.45091771,58.21689339,64.58295298,66.72725184,0.799803981,1.5105521,2.823353286,33987,75418,1,1702.03975,0.070171071
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,25,20,Train,1,112752,146521,112752,17621,86.48416467,56.51224771,50,66.54065485,63.36571343,69.91004603,77.49258958,0.929752574,1.599561042,2.685723326,37369,76584,1,1548.000348,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,25,20,Test,1,325704,468514,325704,131127,71.2963875,58.99060459,50,63.48416409,58.77865695,64.85227062,67.60465263,0.798526235,1.599561042,2.685723326,37369,76584,1,1548.000348,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,25,30,Train,1,132823,146688,132823,1045,99.21938029,52.48022439,50,67.61615854,66.49228813,72.15992892,85.19763352,0.995700205,1.642852307,3.1998942,25016,93491,1,2312.409058,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,25,30,Test,1,326313,464407,326313,130518,71.4296972,58.73216815,50,63.38177758,58.82391116,64.7705256,67.62043848,0.794163903,1.642852307,3.1998942,25016,93491,1,2312.409058,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,50,10,Train,1,94131,131453,94131,37308,71.61573049,58.27230655,50,63.18472479,58.88689744,64.60041641,67.61270331,0.809696414,1.786708147,2.932081931,33036,99739,1,1751.035991,0.070171071
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,50,10,Test,1,317510,476138,317510,139321,69.50272639,59.99359918,50,63.46751925,58.1599504,64.57335913,66.64998823,0.800819885,1.786708147,2.932081931,33036,99739,1,1751.035991,0.070171071
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,50,20,Train,1,112765,147262,112765,18028,86.21638773,56.63334961,50,66.53369838,63.29369701,69.87648266,77.34147629,0.933756775,1.608252122,3.763807296,42097,46292,1,1374.141269,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,50,20,Test,1,324205,472502,324205,132626,70.96825741,59.30687191,50,63.5566692,58.6668428,64.87607688,67.46984176,0.802058855,1.608252122,3.763807296,42097,46292,1,1374.141269,0.070170821
IS,hyperplanes-projection,0.1,2,1,FALSE,4,1000,6,entropy,50,30,Train,1,133653,146728,133653,358,99.73285775,52.33164872,50,67.66081392,66.60719581,72.24392623,85.51249504,0.998708215,1.527077932,2.92802252,21746,86031,1,2660.131748,0.070170821
